event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Deiveson Figueiredo,Marlon Vera,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Michael Chiesa,Tony Ferguson,win,"SUB

      

        Rear Naked Choke",1,3:44
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Mackenzie Dern,Loopy Godinez,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Joel Alvarez,Elves Brener,win,"KO/TKO

      

        Knees",3,3:36
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Azamat Murzakanov,Alonzo Menifield,win,"KO/TKO

      

        Punches",2,3:18
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Kaue Fernandes,Mohammad Yahya,win,"KO/TKO

      

        Punches",1,4:45
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Shamil Gaziev,Don'Tale Mayes,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Guram Kutateladze,Jordan Vucenic,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Sam Hughes,Viktoriia Dudakova,win,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Jai Herbert,Rolando Bedoya,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Sedriques Dumas,Denis Tiuliulin,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Belal Muhammad,Leon Edwards,win,U-DEC,5,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Tom Aspinall,Curtis Blaydes,win,"KO/TKO

      

        Punch",1,1:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Paddy Pimblett,King Green,win,"SUB

      

        Triangle Choke",1,3:22
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Gregory Rodrigues,Christian Leroy Duncan,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Arnold Allen,Giga Chikadze,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Nathaniel Wood,Daniel Pineda,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Bruna Brasil,Molly McCann,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Jake Hadley,Caolan Loughran,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Muhammad Mokaev,Manel Kape,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Oban Elliott,Preston Parsons,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Modestas Bukauskas,Marcin Prachnio,win,"SUB

      

        Arm Triangle",3,3:12
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Sam Patterson,Kiefer Crosbie,win,"SUB

      

        Arm Triangle",1,2:50
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Mick Parkin,Lukasz Brzeski,win,"KO/TKO

      

        Punches",1,3:23
UFC 304: Edwards vs. Muhammad 2,"August 03, 2024",Shauna Bannon,Alice Ardelean,win,S-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Virna Jandiroba,Amanda Lemos,win,"SUB

      

        Armbar",2,4:48
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Steve Garcia,SeungWoo Choi,win,"KO/TKO

      

        Punch",1,1:36
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Kurt Holobaugh,Kaynan Kruschewsky,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Bruno Silva,Cody Durden,win,"KO/TKO

      

        Punches",2,2:58
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Dooho Choi,Bill Algeo,win,"KO/TKO

      

        Punch",2,3:38
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Hyder Amil,JeongYeong Lee,win,"KO/TKO

      

        Punches",1,1:05
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Cody Gibson,Brian Kelleher,win,"SUB

      

        Arm Triangle",1,3:58
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Miranda Maverick,Dione Barbosa,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Trey Ogden,Loik Radzhabov,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Luana Carolina,Lucie Pudilova,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,"July 27, 2024",Thomas Petersen,Mohammed Usman,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Rose Namajunas,Tracy Cortez,win,U-DEC,5,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Muslim Salikhov,Santiago Ponzinibbio,win,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Jean Silva,Drew Dober,win,KO/TKO,3,1:28
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Gabriel Bonfim,Ange Loosa,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Julian Erosa,Christian Rodriguez,win,"SUB

      

        Guillotine Choke",1,4:49
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Abdul Razak Alhassan,Cody Brundage,"nc


nc",CNC,1,0:37
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Charles Johnson,Joshua Van,win,"KO/TKO

      

        Punch",3,0:20
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Jasmine Jasudavicius,Fatima Kline,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Montel Jackson,Da'Mon Blackshear,win,"KO/TKO

      

        Punch",1,0:18
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Luana Santos,Mariya Agapova,win,"SUB

      

        Rear Naked Choke",1,3:27
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Andre Petroski,Josh Fremd,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 20, 2024",Evan Elder,Darrius Flowers,win,"SUB

      

        Arm Triangle",2,1:46
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Alex Pereira,Jiri Prochazka,win,"KO/TKO

      

        Kick",2,0:13
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Diego Lopes,Dan Ige,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Roman Dolidze,Anthony Smith,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Macy Chiasson,Mayra Bueno Silva,win,KO/TKO,2,1:58
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Ian Machado Garry,Michael Page,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Joe Pyfer,Marc-Andre Barriault,win,"KO/TKO

      

        Punch",1,1:25
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Andre Fili,Cub Swanson,win,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Jean Silva,Charles Jourdain,win,"KO/TKO

      

        Punch",2,1:22
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Payton Talbott,Yanis Ghemmouri,win,"KO/TKO

      

        Punch",1,0:19
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Gillian Robertson,Michelle Waterson-Gomez,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Martin Buday,Andrei Arlovski,win,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Rei Tsuruya,Carlos Hernandez,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"July 13, 2024",Vinicius Oliveira,Ricky Simon,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Robert Whittaker,Ikram Aliskerov,win,"KO/TKO

      

        Punch",1,1:49
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Alexander Volkov,Sergei Pavlovich,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Kelvin Gastelum,Daniel Rodriguez,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Shara Magomedov,Antonio Trocoli,win,"KO/TKO

      

        Punches",3,2:27
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Volkan Oezdemir,Johnny Walker,win,"KO/TKO

      

        Punch",1,2:28
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Nasrat Haqparast,Jared Gordon,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Felipe Lima,Muhammad Naimov,win,"SUB

      

        Rear Naked Choke",3,1:15
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Rinat Fakhretdinov,Nicolas Dalby,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Muin Gafurov,Kyung Ho Kang,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",Magomed Gadzhiyasulov,Brendson Ribeiro,win,M-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 29, 2024",ChangHo Lee,Xiao Long,win,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Tatsuro Taira,Alex Perez,win,KO/TKO,2,2:59
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Miles Johns,Douglas Silva de Andrade,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Lucas Almeida,Timmy Cuamba,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Brady Hiestand,Garrett Armfield,win,"SUB

      

        Rear Naked Choke",3,1:52
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Asu Almabayev,Jose Johnson,win,U-DEC,3,5:00
