fighter,rating,rd,volatility,last_fight,peak_rating
Saidyokub Kakhramonov,1530.266172239028,293.52900241074985,379147567.83009166,2022-12-17,1547.5057482723978
Isaac Dulgarian,1530.2257669164937,283.5322959298398,404590403.58424973,2024-09-14,1530.2257669164937
Steve Nelmark,1530.1366122271436,269.49444985194043,413772410.28409606,1996-12-07,1530.1366122271436
Takeya Mizugaki,1529.9931337158118,134.65938584050525,0.01,2016-12-17,1599.5221986569588
Leslie Smith,1529.8050805910248,252.556123824229,337985389.17959857,2017-07-16,1529.8050805910248
Gerard Gordeau,1529.7957914570254,255.15,403211513.35403836,1993-11-12,1529.7957914570254
Ian Freeman,1529.7365755961962,290.2796356963402,698467374.7664666,2002-11-22,1553.4519014477848
Daniel Santos,1529.733998234735,287.08510444290414,473581279.64187336,2023-06-03,1529.733998234735
Lyman Good,1529.5570502570533,273.4312327513516,0.01,2020-06-20,1546.717905983391
Elves Brener,1529.4104156349936,229.95623843823194,216370250.56543,2024-08-10,1569.7340466792418
Montana De La Rosa,1529.2993204786048,234.56034575808042,231899115.66747284,2024-06-15,1573.2355701967717
Khalid Murtazaliev,1529.2382157538104,315.0,883744154.2633952,2018-09-15,1529.2382157538104
Tyson Griffin,1529.2083340794343,119.44339156598649,0.01,2011-10-29,1601.578294348987
Clay Guida,1529.17700180979,41.70259581097413,0.01,2023-12-02,1616.484354264798
Felipe Lima,1529.1145943431077,315.0,874752477.7517767,2024-06-29,1529.1145943431077
Johnny Rhodes,1528.970312664355,255.15,349138465.4340812,1994-03-11,1528.970312664355
Paige VanZant,1528.945197189099,304.06166106048374,500569281.24621177,2020-07-11,1568.0799374958192
Fernando Padilla,1528.8752062510828,274.69497992316525,423118191.94122356,2024-03-23,1528.8752062510828
Sam Patterson,1528.610017249395,298.24295817336576,456514288.39509934,2024-08-03,1528.610017249395
Ketlen Souza,1528.4801573897123,291.8845564709617,615728211.6839728,2024-09-28,1528.4801573897123
Genki Sudo,1528.3582464555245,315.0,589428541.7904488,2004-04-02,1528.3582464555245
Michael Johnson,1528.3098085691736,62.634542765420655,2391449.852289694,2024-02-10,1612.9612822684342
Kevin Jousset,1528.239592529887,288.72128660425324,381589371.0690046,2024-10-05,1545.8834496595991
Megan Anderson,1528.213238452386,250.63733699856934,0.01,2021-03-06,1537.8805862941786
Allan Nascimento,1528.1972160351822,289.93392015766824,547419389.5920758,2023-01-14,1528.1972160351822
Mike Pyle,1528.1383647663097,111.0268377377207,30627577.398949943,2018-03-03,1623.4751563005746
Viviane Araujo,1528.1172711087063,174.91063834177854,93124309.075651,2024-02-03,1562.8860390130317
Jennifer Maia,1528.0108297604338,162.99514075966349,0.01,2023-10-14,1549.4411267760472
Din Thomas,1527.9933889365673,227.66134109315266,365022165.07454205,2008-04-02,1571.136851805369
Ariane Carnelossi,1527.9723353729496,315.0,644238833.8178744,2024-06-01,1528.455151889317
Tim Elliott,1527.7715024584058,193.01918076452156,0.01,2023-12-09,1527.7715024584058
Phil Rowe,1527.7191908912787,276.90618465294,0.01,2024-06-08,1557.9046583850236
Sanae Kikuta,1527.7162358363357,315.0,776243537.8409169,2000-04-14,1527.7162358363357
Steve Bosse,1527.63637682076,282.2918867928948,431294109.48462564,2016-06-18,1527.63637682076
Felicia Spencer,1527.5485231354564,243.3298968292165,0.01,2021-11-13,1532.5887415861296
Michal Oleksiejczuk,1527.3501075932336,132.1550051608916,0.01,2024-08-10,1582.5253734175808
Ben Nguyen,1527.2279404619346,245.55557595916184,353121463.7887205,2018-12-01,1568.6422113046438
Jonny Parsons,1526.9308720271183,315.0,723497544.4456964,2023-07-22,1526.9308720271183
Kenichi Yamamoto,1526.731974041125,305.0109886390366,342855733.0293416,2000-12-16,1542.3982853150071
Mike Kyle,1526.7300982314382,272.1811521761553,418863812.16824347,2005-02-05,1526.7300982314382
Mark Schultz,1526.7226596808885,315.0,709824943.9765561,1996-05-17,1526.7226596808885
Eryk Anders,1526.6921210480243,123.59010791869169,0.01,2024-03-02,1552.8484843488
Juan Espino,1526.6907511618292,299.28651290402314,517819637.95755845,2021-04-17,1546.3766781091526
Robert Peralta,1526.6058029993715,237.9277973262882,253760425.54977912,2015-04-04,1564.7550878753543
Steve Jennum,1526.5866944380625,302.6104657550903,662345957.7243942,1995-12-16,1548.563362922196
Ikuhisa Minowa,1526.5493579759768,315.0,698544264.9832383,2000-04-14,1526.5493579759768
Gavin Tucker,1526.5465383688584,315.0,838511853.9009767,2023-08-05,1568.926242597421
Nora Cornolle,1526.530935868021,283.6992659076906,494130458.838235,2024-10-05,1547.045155712502
Chidi Njokuani,1526.4609367033227,210.59204663619084,181010433.74909055,2024-10-19,1548.7317598395114
Brandon Vera,1526.3715476578705,197.37251816355186,225208048.69109312,2013-08-31,1596.4560363138664
Timothy Johnson,1526.2915652933973,216.1423968574224,249399868.989628,2018-02-03,1526.7561050664992
Mauricio Ruffy,1526.2730763616507,315.0,680747191.3562461,2024-05-11,1526.2730763616507
Dmitry Sosnovskiy,1526.2528470801255,315.0,679453116.2839882,2018-03-17,1526.2528470801255
Lee Murray,1526.2334235005933,315.0,678211740.8722844,2004-01-31,1526.2334235005933
Cody Stamann,1526.205872006765,207.9495813775366,207861889.44621888,2024-06-15,1589.2580656721473
Gary Goodridge,1526.1454424016038,266.5252655252799,0.01,1999-03-05,1550.0
Zachary Reese,1525.8463651595453,271.03640057324327,403981583.9436637,2024-09-07,1525.8463651595453
Paul Kelly,1525.834566481044,171.73247451050742,142667377.4860634,2011-02-05,1548.614945648248
Alexis Davis,1525.752467516946,263.2856716956945,0.01,2022-02-05,1573.6304365252988
Mike Perry,1525.3790737841293,97.78524549203512,14850912.430101674,2021-04-10,1582.3307849838795
Brad Riddell,1525.3239219542306,225.06741865347075,191467986.002112,2022-11-12,1581.7861947155668
Veronica Hardy,1525.2409473074972,288.59538862085,0.01,2024-05-18,1525.2409473074972
Jean Matsumoto,1525.1804789343685,315.0,612615806.3259987,2024-04-13,1525.1804789343685
Jimmy Crute,1525.175463220802,279.8875121681051,0.01,2023-07-08,1582.7881710439037
Ramazan Temirov,1525.1728130016959,315.0,612150467.5640261,2024-10-19,1525.1728130016959
Justin Martin,1525.0,315.0,601707259.8279549,1997-02-07,1525.0
Scott Adams,1525.0,315.0,601707259.8279549,2000-03-10,1525.0
Enson Inoue,1525.0,315.0,601707259.8279549,1997-05-30,1525.0
Bob Cook,1525.0,315.0,601707259.8279549,2000-03-10,1525.0
Rafael Carino,1525.0,315.0,601707259.8279549,1996-05-17,1525.0
Marcelo Mello,1525.0,315.0,601707259.8279549,1999-05-07,1525.0
Sione Latu,1525.0,315.0,601707259.8279549,1999-03-05,1525.0
Kazushi Sakuraba,1525.0,315.0,601707259.8279549,1997-12-21,1525.0
Tulio Palhares,1525.0,315.0,601707259.8279549,1998-10-16,1525.0
Tom Murphy,1525.0,315.0,601707259.8279549,2006-03-04,1525.0
Jon Hess,1525.0,315.0,601707259.8279549,1995-04-07,1525.0
Mairon Santos,1525.0,315.0,601707259.8279549,2024-09-07,1525.0
Frank Hamaker,1525.0,315.0,601707259.8279549,1994-03-11,1525.0
Cesar Marscucci,1525.0,315.0,601707259.8279549,1998-10-16,1525.0
Ryan Loder,1525.0,315.0,601707259.8279549,2024-09-07,1525.0
Nathan Fletcher,1525.0,315.0,601707259.8279549,2024-09-14,1525.0
Jonathan Wiezorek,1525.0,315.0,601707259.8279549,2004-04-02,1525.0
Aliaskhab Khizriev,1525.0,315.0,601707259.8279549,2022-03-26,1525.0
Zhang Mingyang,1525.0,315.0,601707259.8279549,2024-02-17,1525.0
Onassis Parungao,1525.0,315.0,601707259.8279549,1995-09-08,1525.0
Cesar Almeida,1524.908364877194,261.84845930257757,337094091.22594714,2024-10-12,1525.0
Rodolfo Bellato,1524.6949576836516,315.0,583492615.5765042,2023-12-02,1524.6949576836516
Mikey Burnett,1524.6520770726252,273.9705738527069,371656730.6280118,1999-01-08,1525.0
Tim Means,1524.6080263232843,56.22328629725746,2661966.3754880056,2024-10-12,1609.3380130670264
Trey Ogden,1524.5908800410798,266.4629518912479,452349119.9768087,2024-07-27,1524.5908800410798
Rafa Garcia,1524.5408934898817,234.19592726903034,0.01,2024-10-19,1537.6044398734302
Yanal Ashmouz,1524.540376394553,315.0,591759807.0881159,2024-09-14,1525.0
Daniel Zellhuber,1524.5283587559395,248.89653976832355,366242952.08019394,2024-09-28,1545.4493819479535
Andre Roberts,1524.4036705016124,290.3815245607923,577773684.0181829,1999-07-16,1524.4036705016124
Michael Trizano,1524.2378313846375,266.30062060607787,382713328.27669036,2022-11-12,1540.287803268362
Alex Oliveira,1524.1303151385864,61.69413580868495,1806146.576746423,2022-03-05,1651.5860339961873
Maiquel Falcao,1524.0193042344824,315.0,867852874.4612795,2010-11-20,1524.0193042344824
Ebenezer Fontes Braga,1524.018129593483,315.0,544077623.6879755,1998-10-16,1524.018129593483
Timur Valiev,1523.8095238877881,286.5971329498474,380196778.1257277,2022-03-19,1541.5806183410707
Cameron Saaiman,1523.5197685900027,223.70803811667602,279125845.5536189,2024-03-23,1566.898517689461
BJ Penn,1523.5024595099294,290.3815245607923,413224257.3171426,2019-05-11,1691.8106461721516
