fighter,peak_rating
Ricco Rodriguez,1622.2007727006744
Dominick Cruz,1621.9314924494568
Paul Craig,1621.2778143792325
Alexa Grasso,1620.8390989638049
Francis Carmont,1620.4624493458473
Darren Till,1620.3720695349568
Germaine de Randamie,1620.3648148973855
Antonio Carlos Junior,1620.2044835901945
Bryce Mitchell,1619.8934423352061
Alex Caceres,1619.7849793746664
Matheus Nicolau,1619.730417502994
Josh Barnett,1619.6329651857384
Anthony Rocco Martin,1619.632686808775
Elias Theodorou,1619.5990490906747
Karo Parisyan,1619.0832869279332
Andre Muniz,1618.9533317077075
Jens Pulver,1618.7870657332571
Calvin Kattar,1618.3747508206213
Alejandro Perez,1618.3636428090051
Brandon Royval,1618.1563585478934
Mauricio Rua,1618.0534226438724
Said Nurmagomedov,1618.0068308596888
Mark Hunt,1617.93180058014
Frank Shamrock,1617.5644043990694
Diego Lopes,1617.5452814122089
Sam Alvey,1617.3079225853132
Khalil Rountree Jr.,1617.2938639866447
Olivier Aubin-Mercier,1617.141568006345
Rousimar Palhares,1617.0924161007763
Gregory Rodrigues,1616.5247815077544
Clay Guida,1616.484354264798
Aleksandar Rakic,1616.4217349790138
Omari Akhmedov,1616.0557219360007
Gabriel Gonzaga,1616.0379500277527
King Green,1615.9655480485287
Sodiq Yusuff,1615.474601117547
Yan Xiaonan,1615.1316899684907
Nate Quarry,1614.833711967252
Alex Perez,1614.7417219815104
John Dodson,1614.5608216302312
Evan Dunham,1614.3728381977796
Carlos Condit,1614.32838250302
Dan Ige,1614.0918061765328
Kyoji Horiguchi,1613.2732118708566
Michael Johnson,1612.9612822684342
Jimi Manuwa,1612.3415653340132
Matt Wiman,1612.2898263471563
Krzysztof Jotko,1612.1095700285682
Chris Leben,1611.7221603801395
Claudio Silva,1611.6732387497566
Marina Rodriguez,1611.4645605260414
Adrian Yanez,1611.1411984109704
Virna Jandiroba,1611.1195158987443
Mirsad Bektic,1610.9470695626678
Chas Skelly,1610.788525167792
Matt Lindland,1610.3189318318039
John Hathaway,1610.2713012669617
Joe Stevenson,1610.2280353437573
Shane Burgos,1610.087426658575
Nasrat Haqparast,1609.9925728443682
Joanderson Brito,1609.905116244263
Marlon Moraes,1609.8510859251467
Aleksei Oleinik,1609.805344219222
Jalin Turner,1609.7456629645292
Bryan Battle,1609.6486443633048
Tim Means,1609.3380130670264
Ilir Latifi,1609.1819550784985
Jimmie Rivera,1609.0936417205785
Cristiane Justino,1609.023508149927
Ken Shamrock,1608.9522245546702
Jeremy Stephens,1608.8223792885683
Alexandr Romanov,1608.66122117458
Benoit Saint Denis,1608.5373827690046
Kyung Ho Kang,1608.3335148094247
Daniel Kelly,1608.2169204639238
Johnny Walker,1608.1487140909069
Muslim Salikhov,1607.9378746636958
Thiago Silva,1607.3842456664338
David Teymur,1607.1340968956188
Amir Albazi,1606.9989919203645
Vinc Pichel,1606.9493574199207
Ben Rothwell,1606.8998983835327
Anthony Hernandez,1606.721889744722
Andre Petroski,1606.6061534926478
Marcos Rogerio de Lima,1606.5673858274497
Mackenzie Dern,1606.545670426422
Dan Henderson,1606.3497358645334
Steve Garcia,1606.2884840893917
Shane Carwin,1606.2672208431854
Ludovit Klein,1606.1337749293555
Joel Alvarez,1606.103425076566
Nicolas Dalby,1605.3570611211617
Macy Chiasson,1604.8186463079958
Kyler Phillips,1604.3866126143682
Raoni Barcelos,1603.9516165950436
Nathaniel Wood,1603.4909736619895
Ryan LaFlare,1603.406424727969
Roy Nelson,1603.2172408659658
Spencer Fisher,1603.1758581823904
Kurt Pellegrino,1602.636967452846
Jiri Prochazka,1602.6000810828639
Khaos Williams,1602.5642538595748
Ben Saunders,1602.4194378205423
JunYong Park,1602.3107960980008
Gillian Robertson,1602.097918522103
Oleg Taktarov,1601.743454596087
Cynthia Calvillo,1601.6973418213406
Jack Shore,1601.6002346008222
Tyson Griffin,1601.578294348987
Chris Daukaus,1601.5295641382825
Jonathan Pearce,1600.9967640205518
Kai Kara-France,1600.9635829927122
Abel Trujillo,1600.6622270364333
Jared Rosholt,1600.4751523032699
Tim Boetsch,1599.9739335030747
Erik Perez,1599.8270490918665
Cezar Ferreira,1599.6798312745752
Rafael Natal,1599.548731318302
Takeya Mizugaki,1599.5221986569588
Wilson Gouveia,1599.3941141064793
Azamat Murzakanov,1599.3581959141068
Brock Lesnar,1599.1549203674667
Gerald Meerschaert,1599.0255211462359
Sergio Pettis,1598.9441138173227
Iuri Alcantara,1598.602290031242
Bryan Caraway,1598.5529338327165
Misha Cirkunov,1598.0567429204593
Chael Sonnen,1598.0165269395313
Dustin Jacoby,1597.6358460895433
Yancy Medeiros,1597.486347023906
Sean Woodson,1597.0439463882865
Dan Hardy,1597.0303869475572
Yves Edwards,1596.9718724180252
Thiago Tavares,1596.615593969949
Ross Pearson,1596.544853664345
Warlley Alves,1596.5379341405524
Jeremiah Wells,1596.491193268562
Brandon Vera,1596.4560363138664
Irene Aldana,1596.3185431464478
Louis Smolka,1595.7963296918133
Constantinos Philippou,1595.6009334164899
Bryan Barberena,1595.422911198264
Volkan Oezdemir,1595.3589256629034
Vladimir Matyushenko,1595.2131925789542
Edmen Shahbazyan,1595.0727882600654
Sean Sherk,1595.071399451813
Ketlen Vieira,1595.0425084536269
Tecia Pennington,1594.9519301688476
Scott Holtzman,1594.4203694279884
Claudio Puelles,1593.7085550135223
Shawn Jordan,1593.6578058052498
Cole Miller,1593.3011306618737
Ryan Hall,1593.0886046183177
Jerry Bohlander,1593.0451595006139
Tracy Cortez,1592.9901653469572
Albert Tumenov,1592.9428103423306
Rinat Fakhretdinov,1592.7890595334095
Ed Herman,1592.5218925862205
Bruno Silva,1592.3959748903687
Mark Kerr,1592.090772682379
Karine Silva,1591.8568870017198
Niko Price,1591.5470836702555
Da Woon Jung,1591.4346105992645
Damir Ismagulov,1590.5096973887364
Amanda Ribas,1589.8038273197271
Alan Jouban,1589.4965197893534
Cody Stamann,1589.2580656721473
Michael McDonald,1589.0187077692763
CB Dollaway,1588.850210573014
Rashid Magomedov,1588.7992754613524
Casey Kenney,1588.764263454631
Brian Ebersole,1588.5830945905905
Thomas Almeida,1588.299811215775
Mike Russow,1588.0668193572674
Makwan Amirkhani,1588.0395920294357
Augusto Sakai,1588.0064173827648
Joe Solecki,1587.869514927967
Chad Laprise,1587.488391734247
Tabatha Ricci,1587.4321176905744
Fares Ziam,1587.1252029711209
Loopy Godinez,1587.065014261833
Nordine Taleb,1586.9293062113404
Laverne Clark,1586.766591534716
Mark Madsen,1586.45971910686
James Te Huna,1586.3988976143137
Stevie Ray,1585.9481946622604
Clint Hester,1585.8966855999279
Guy Mezger,1585.775038042029
Chepe Mariscal,1585.6492147116019
William Gomis,1585.5559587499822
Miranda Maverick,1585.4830622685304
Vitor Petrino,1585.3326338684092
Casey O'Neill,1584.9287487658528
Chris Wade,1584.9007926199322
Wilson Reis,1584.790268880312
Lauren Murphy,1584.776808553574
John Makdessi,1584.6911339235855
Felice Herrig,1584.545049353834
Nick Diaz,1584.491500425642
Steven Siler,1584.4259791796371
Chris Camozzi,1584.2728038794903
Danny Castillo,1584.1456412887098
Hakeem Dawodu,1583.8743597027092
Chris Curtis,1583.7173064069016
Dustin Ortiz,1583.585916952532
Alan Patrick,1583.4994888130088
John Howard,1583.4882166433126
Patrick Cote,1583.4083984801148
Johnny Case,1583.2794432462606
Erick Silva,1583.131103904719
Ricardo Ramos,1583.0817324339253
Jimmy Crute,1582.7881710439037
Dustin Hazelett,1582.7399267677654
Ignacio Bahamondes,1582.724652394091
John Moraga,1582.668795987435
Michal Oleksiejczuk,1582.5253734175808
Aaron Simpson,1582.421555667509
Kennedy Nzechukwu,1582.3932587999689
Mike Perry,1582.3307849838795
Jordan Johnson,1582.2437626798478
Brian Kelleher,1582.059166189997
Carlos Prates,1581.998418579167
Pat Sabatini,1581.9042952447496
David Loiseau,1581.8012107987304
Brad Riddell,1581.7861947155668
Justin Willis,1581.2188505036934
Ramazan Emeev,1581.1190600163893
Sage Northcutt,1581.1099052951402
Damon Jackson,1581.0120859488254
Jared Gordon,1580.9632220015692
Adriano Martins,1580.8701787250768
Krzysztof Soszynski,1580.859259749222
Mick Parkin,1580.8136408729702
Hermes Franca,1580.112813739641
Cathal Pendred,1580.0384268456892
Eddie Alvarez,1579.7847568779616
Brian Stann,1579.6176082147354
Shamil Abdurakhimov,1579.557686901088
Joe Pyfer,1579.5388179143886
Davi Ramos,1579.197370724964
Terry Etim,1579.0847330293618
Miles Johns,1578.875284983387
Andre Fili,1578.6998488882855
Trevin Giles,1578.5865579119252
Chris Lytle,1578.444368101054
Norman Parke,1578.2650323086261
Miguel Baeza,1578.1626049111483
Jean Silva,1578.1309521408016
Renato Sobral,1578.0894805735732
Antonio Rodrigo Nogueira,1577.958522710811
Brendan Schaub,1577.8288815184094
Matthew Riddle,1577.785038603241
Waldo Cortes-Acosta,1577.5068930937398
Dooho Choi,1577.3436634416953
Billy Quarantillo,1577.3364566721452
Abdul Razak Alhassan,1577.2798264848211
Jason Knight,1577.2377010968976
Mark Bocek,1577.0056784362555
Rodolfo Vieira,1576.7784210673299
Seth Baczynski,1576.503239900549
Martin Buday,1576.4400886773328
Diego Brandao,1576.3930337671072
Josh Samman,1576.3198544719185
Taylor Lapilus,1575.8661714903612
Rogerio Nogueira,1575.6466915580368
Carlston Harris,1575.4715712536317
Alexander Hernandez,1575.3445586625085
Marco Ruas,1575.3224361177938
Jason Lambert,1575.2377541438123
Jon Madsen,1574.5895267059548
Joe Duffy,1574.368147305556
Kyle Noke,1574.307813093993
Ray Borg,1574.2532948863895
David Abbott,1574.0809028099154
Keith Jardine,1574.0426363053018
Marion Reneau,1574.0054797805703
Paul Sass,1573.9516871958338
Chase Hooper,1573.893377095659
Mayra Bueno Silva,1573.8883594177828
JJ Aldrich,1573.8307760235857
Thiago Moises,1573.80062326887
Mike Malott,1573.7102518107206
Alexis Davis,1573.6304365252988
Tim Credeur,1573.563362922196
Tim Kennedy,1573.5361216264441
Jorge Rivera,1573.4002092493158
Michelle Waterson-Gomez,1573.3815726452615
Mickey Gall,1573.2740544316096
Montana De La Rosa,1573.2355701967717
Loma Lookboonmee,1573.2253612418428
Holly Holm,1573.1813661869546
Caio Magalhaes,1572.9615922431942
Enrique Barzola,1572.8571158370455
Mitch Gagnon,1572.8439005115988
Tom Breese,1572.6591457912648
Muhammad Naimov,1572.5126603805707
Rony Jason,1572.4685691369707
Curtis Millender,1572.3097063449898
Karol Rosa,1572.3076800323627
Aspen Ladd,1572.1338640426227
Magnus Cedenblad,1572.0252361448386
Jeremy Horn,1572.018084658173
Manuel Torres,1571.7723524194805
Matthew Semelsberger,1571.7290080089915
Miesha Tate,1571.7145100835717
Payton Talbott,1571.146321993835
Din Thomas,1571.136851805369
Mike Davis,1571.078922799031
Gerald Harris,1570.7858957691985
Alberto Mina,1570.7813990395546
Matt Frevola,1570.5904058335027
Aiemann Zahabi,1570.5273437494088
Gabriel Benitez,1570.3885512411862
Edimilson Souza,1570.3278260000925
Bo Nickal,1570.0166402779134
Mark Hominick,1569.948628966185
Askar Askarov,1569.9085720882626
Elves Brener,1569.7340466792418
Taila Santos,1569.6871954479914
Christian Rodriguez,1569.6431627321342
Chris Cariaso,1569.6029884885297
Daron Cruickshank,1569.3186392735456
Manny Bermudez,1569.1785262622093
Paulo Thiago,1569.1131165724719
Claudia Gadelha,1569.0654720446255
Iasmin Lucindo,1569.0410093808578
Luke Barnatt,1569.032683702232
Nate Maness,1569.013241405711
Brett Johns,1568.9510548167284
Jacob Volkmann,1568.9388483456187
Gavin Tucker,1568.926242597421
Makhmud Muradov,1568.9115500508938
Mateusz Rebecki,1568.8332329461452
Ricardo Almeida,1568.7915766595343
Ben Nguyen,1568.6422113046438
Marco Polo Reyes,1568.6065660585632
Dean Lister,1568.4848443671779
Danny Roberts,1568.124713222699
Paige VanZant,1568.0799374958192
Rodrigo Nascimento,1568.0404572284626
Jake Shields,1568.0288056178215
Shara Magomedov,1567.88178184441
