Fighter,Peak Elo
Vinc Pichel,1447.12
Daniel Kelly,1446.29
Khaos Williams,1446.24
Tatsuro Taira,1445.48
Hector Lombard,1444.63
David Branch,1442.87
Matt Wiman,1442.2
Azamat Murzakanov,1442.05
Cody Stamann,1440.92
Steve Garcia,1440.86
Gabriel Bonfim,1440.68
Krzysztof Jotko,1440.52
Pat Miletich,1440.41
Ovince Saint Preux,1440.28
Sean Sherk,1439.52
Ken Shamrock,1439.04
Dustin Jacoby,1438.98
Mairbek Taisumov,1438.48
Sean Woodson,1438.24
Holly Holm,1438.21
Askar Askarov,1438.0
Joe Stevenson,1436.98
Alex Morono,1436.96
Irene Aldana,1436.45
Matheus Nicolau,1436.01
Bryan Caraway,1435.24
Alexander Hernandez,1433.96
David Teymur,1433.49
Evan Dunham,1433.03
Alex Caceres,1432.95
Elias Theodorou,1431.82
Miesha Tate,1430.37
Daniel Marcos,1429.69
Joe Lauzon,1429.33
Claudio Silva,1427.95
Roy Nelson,1425.75
Karo Parisyan,1425.73
Marcus Davis,1425.31
Jeremiah Wells,1423.55
Rashid Magomedov,1422.98
Youssef Zalal,1422.51
Aiemann Zahabi,1422.17
Takeya Mizugaki,1421.29
Jake Shields,1421.14
Mirsad Bektic,1420.33
John Dodson,1418.99
Manel Kape,1418.66
Misha Cirkunov,1418.35
Tim Kennedy,1417.86
Albert Tumenov,1417.09
Shane Burgos,1414.55
Chris Lytle,1414.25
Chepe Mariscal,1413.78
Alex Perez,1413.15
Kyler Phillips,1411.45
Marco Ruas,1411.44
Ryan LaFlare,1411.35
Brad Riddell,1411.12
Michael Chandler,1410.2
Cheick Kongo,1409.02
Sergio Moraes,1407.69
William Gomis,1407.48
Rousimar Palhares,1407.39
Dustin Ortiz,1407.02
Jason Knight,1406.57
Julian Erosa,1405.83
John Hathaway,1405.49
Amir Albazi,1405.07
Damon Jackson,1404.31
Yves Edwards,1403.97
Kyoji Horiguchi,1403.6
Alejandro Perez,1403.11
Adrian Yanez,1401.81
Evan Tanner,1401.48
Paulo Thiago,1400.51
Jake Matthews,1399.46
