Fighter,Peak Elo
Guangyou Ning,1044.25
Joe Proctor,1044.14
Patrick Cummins,1044.01
Chidi Njokuani,1043.99
Charlie Brenneman,1043.91
Russell Doane,1043.52
Hyder Amil,1043.45
John Maguire,1043.44
Jhonata Diniz,1043.32
Kevin Jousset,1043.3
Dylan Andrews,1043.28
Davey Grant,1043.26
Clayton Carpenter,1043.22
Tanner Boser,1043.21
Phillip Miller,1043.18
Eddie Sanchez,1043.15
Chris Padilla,1043.15
Christian Leroy Duncan,1043.07
Eugene Jackson,1043.06
Mark Hall,1042.99
Oumar Sy,1042.93
Diego Rivas,1042.84
Brian Bowles,1042.83
Erik Koch,1042.83
Paul Kelly,1042.75
Batgerel Danaa,1042.73
Chris Holdsworth,1042.54
Jean Matsumoto,1042.5
Julio Arce,1042.33
Luana Carolina,1042.17
Daniel Zellhuber,1042.16
Hugo Viana,1041.96
Juan Espino,1041.94
Kenichi Yamamoto,1041.91
Jesus Aguilar,1041.8
Poliana Botelho,1041.76
Nicholas Musoke,1041.74
Laureano Staropoli,1041.72
Nick Ring,1041.71
Danny Barlow,1041.7
Mike van Arsdale,1041.68
Tony DeSouza,1041.68
David Heath,1041.68
Rich Attonito,1041.68
Chris Beal,1041.68
Danny Henry,1041.68
Don Madge,1041.68
Melsik Baghdasaryan,1041.68
Francisco Rivera,1041.67
Jason Brilz,1041.63
Charlie Campbell,1041.57
HyunSung Park,1041.42
Tony Gravely,1041.39
Ronnie Lawrence,1041.37
Trey Waters,1041.25
Armen Petrosyan,1041.18
Julian Marquez,1041.17
Desmond Green,1041.13
Rob Emerson,1041.07
Igor Araujo,1041.05
Yves Jabouin,1040.97
Timur Valiev,1040.93
Ibo Aslan,1040.91
Andre Ewell,1040.85
Jimy Hettes,1040.76
Ramsey Nijem,1040.63
Darren Uyenoyama,1040.6
Viviane Pereira,1040.6
Ildemar Alcantara,1040.58
Trevor Prangley,1040.5
Rodrigo Damm,1040.5
Tainara Lisboa,1040.5
Scott Jorgensen,1040.49
Shane Nelson,1040.48
Joey Beltran,1040.46
Oskar Piechota,1040.46
Joanne Wood,1040.4
Tsuyoshi Kohsaka,1040.39
Nick Maximov,1040.39
Andrew Sanchez,1040.38
Rory Singer,1040.37
Rogerio Bontorin,1040.36
Michael Trizano,1040.17
Alex Hunter,1040.15
Sam Stout,1040.07
David Branch,1040.04
Cory McKenna,1040.04
Chris Duncan,1039.99
Kenny Robertson,1039.87
Zach Makovsky,1039.83
Mauricio Ruffy,1039.82
Jessica-Rose Clark,1039.8
Adam Wieczorek,1039.77
Bea Malecki,1039.69
Omar Morales,1039.58
Hatsu Hioki,1039.55
Charles Radtke,1039.55
Livinha Souza,1039.26
Viscardi Andrade,1039.07
