event,fighter_1,fighter_2,result,method,round,time
UFC 304: Edwards vs. Muhammad 2,Bruna Brasil,Molly McCann,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Jake Hadley,Caolan Loughran,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Muhammad Mokaev,Manel Kape,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Oban Elliott,Preston Parsons,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Modestas Bukauskas,Marcin Prachnio,win,"SUB

      

        Arm Triangle",3,3:12
UFC 304: Edwards vs. Muhammad 2,Sam Patterson,Kiefer Crosbie,win,"SUB

      

        Arm Triangle",1,2:50
UFC 304: Edwards vs. Muhammad 2,Mick Parkin,Lukasz Brzeski,win,"KO/TKO

      

        Punches",1,3:23
UFC 304: Edwards vs. Muhammad 2,Shauna Bannon,Alice Ardelean,win,S-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Virna Jandiroba,Amanda Lemos,win,"SUB

      

        Armbar",2,4:48
UFC Fight Night: Lemos vs. Jandiroba,Steve Garcia,SeungWoo Choi,win,"KO/TKO

      

        Punch",1,1:36
UFC Fight Night: Lemos vs. Jandiroba,Kurt Holobaugh,Kaynan Kruschewsky,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Bruno Silva,Cody Durden,win,"KO/TKO

      

        Punches",2,2:58
UFC Fight Night: Lemos vs. Jandiroba,Dooho Choi,Bill Algeo,win,"KO/TKO

      

        Punch",2,3:38
UFC Fight Night: Lemos vs. Jandiroba,Hyder Amil,JeongYeong Lee,win,"KO/TKO

      

        Punches",1,1:05
UFC Fight Night: Lemos vs. Jandiroba,Cody Gibson,Brian Kelleher,win,"SUB

      

        Arm Triangle",1,3:58
UFC Fight Night: Lemos vs. Jandiroba,Miranda Maverick,Dione Barbosa,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Trey Ogden,Loik Radzhabov,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Luana Carolina,Lucie Pudilova,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Thomas Petersen,Mohammed Usman,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Rose Namajunas,Tracy Cortez,win,U-DEC,5,5:00
UFC Fight Night: Namajunas vs. Cortez,Muslim Salikhov,Santiago Ponzinibbio,win,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Jean Silva,Drew Dober,win,KO/TKO,3,1:28
UFC Fight Night: Namajunas vs. Cortez,Gabriel Bonfim,Ange Loosa,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Julian Erosa,Christian Rodriguez,win,"SUB

      

        Guillotine Choke",1,4:49
UFC Fight Night: Namajunas vs. Cortez,Abdul Razak Alhassan,Cody Brundage,nc,CNC,1,0:37
UFC Fight Night: Namajunas vs. Cortez,Charles Johnson,Joshua Van,win,"KO/TKO

      

        Punch",3,0:20
UFC Fight Night: Namajunas vs. Cortez,Jasmine Jasudavicius,Fatima Kline,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Montel Jackson,Da'Mon Blackshear,win,"KO/TKO

      

        Punch",1,0:18
UFC Fight Night: Namajunas vs. Cortez,Luana Santos,Mariya Agapova,win,"SUB

      

        Rear Naked Choke",1,3:27
UFC Fight Night: Namajunas vs. Cortez,Andre Petroski,Josh Fremd,win,U-DEC,3,5:00
