Fighter,Peak Elo
Pedro Rizzo,1408.82
Alexander Hernandez,1408.41
Cheick Kongo,1408.03
Hector Lombard,1406.23
Takeya Mizugaki,1405.78
Jalin Turner,1405.66
Irene Aldana,1405.39
Bryan Caraway,1404.41
Sean Woodson,1404.41
David Branch,1403.51
Brad Riddell,1402.84
Rashid Magomedov,1401.5
Ryan LaFlare,1401.37
Azamat Murzakanov,1400.81
Frank Shamrock,1400.73
Matt Frevola,1400.33
Ovince Saint Preux,1400.08
Holly Holm,1399.1
Mirsad Bektic,1398.12
Alejandro Perez,1397.94
Alex Caceres,1397.35
Miesha Tate,1396.75
Shane Burgos,1396.37
Matt Wiman,1396.32
Claudio Silva,1396.28
Joe Stevenson,1396.17
Evan Dunham,1395.7
Askar Askarov,1395.66
Dustin Jacoby,1394.99
Kyoji Horiguchi,1394.69
Jeremiah Wells,1394.0
Kyler Phillips,1392.88
John Hathaway,1392.13
Tim Kennedy,1391.37
Ketlen Vieira,1391.33
William Gomis,1391.04
Alex Perez,1388.87
Khaos Williams,1388.79
Marcus Davis,1387.96
John Dodson,1387.58
Mark Madsen,1387.06
Jake Matthews,1386.28
Chris Lytle,1385.74
Steve Garcia,1385.55
Anthony Hernandez,1384.51
Damon Jackson,1383.05
Casey Kenney,1381.25
Roy Nelson,1381.15
Albert Tumenov,1379.96
Amir Albazi,1379.96
Tabatha Ricci,1379.31
Evan Tanner,1375.7
Joe Lauzon,1375.51
Thiago Moises,1374.82
Chepe Mariscal,1374.23
Dustin Ortiz,1373.65
Rousimar Palhares,1373.09
Louis Smolka,1370.28
Misha Cirkunov,1368.9
Ludovit Klein,1367.58
Jason Knight,1367.02
Lauren Murphy,1366.37
Yves Edwards,1364.97
Max Griffin,1364.93
Adrian Yanez,1364.52
Marco Ruas,1363.29
Tim Means,1361.95
Carlos Prates,1361.24
Tracy Cortez,1361.23
Mackenzie Dern,1360.13
Aleksei Oleinik,1360.04
Thiago Silva,1360.03
Edmen Shahbazyan,1359.96
Curtis Millender,1359.16
Chris Curtis,1357.82
Nate Quarry,1357.29
Bryan Barberena,1357.03
Matt Lindland,1356.54
Joel Alvarez,1355.96
Nik Lentz,1355.46
Patrick Cote,1355.34
Antonio Rodrigo Nogueira,1355.08
Gregory Rodrigues,1354.31
Zak Cummings,1354.24
Raoni Barcelos,1353.99
Sam Alvey,1353.83
Loopy Godinez,1353.61
Paulo Thiago,1352.9
Matt Mitrione,1352.63
CB Dollaway,1352.47
Abel Trujillo,1351.98
Jared Rosholt,1350.91
Cristiane Justino,1350.82
Augusto Sakai,1350.72
Jonathan Pearce,1350.67
Andre Petroski,1350.58
Ed Herman,1350.41
Michelle Waterson-Gomez,1350.39
Tyson Griffin,1350.08
Michael Chandler,1349.09
Ryan Hall,1348.4
Da Woon Jung,1347.77
Jared Gordon,1347.04
Kurt Pellegrino,1346.83
Alonzo Menifield,1346.78
Mike Russow,1346.16
Adriano Martins,1345.23
Karine Silva,1345.05
Jack Shore,1345.01
Shamil Abdurakhimov,1344.27
Hakeem Dawodu,1344.23
Scott Holtzman,1344.12
Thiago Tavares,1344.04
Amanda Ribas,1343.21
Ronny Markes,1340.68
Claudio Puelles,1340.61
Nathaniel Wood,1340.16
Jennifer Maia,1339.73
Kevin Randleman,1339.38
Ben Saunders,1339.29
Daniel Marcos,1338.4
Julian Erosa,1338.23
Roger Huerta,1337.96
Karolina Kowalkiewicz,1336.36
Macy Chiasson,1335.43
Alan Patrick,1335.14
Ian Heinisch,1334.3
Ramazan Emeev,1334.23
Carlston Harris,1333.25
Alan Jouban,1332.96
Claudia Gadelha,1331.32
Cynthia Calvillo,1330.87
Dooho Choi,1330.3
Christian Rodriguez,1330.14
Damir Ismagulov,1328.2
Davi Ramos,1327.5
Aiemann Zahabi,1327.1
Jorge Rivera,1326.74
Rodrigo Nascimento,1326.64
Brandon Vera,1325.98
Taila Santos,1325.79
Jacob Volkmann,1324.37
Iuri Alcantara,1324.36
Chas Skelly,1324.19
Alexandr Romanov,1324.04
Mike Perry,1323.86
Nick Diaz,1323.45
Josh Samman,1322.49
Tecia Pennington,1320.97
Marcos Rogerio de Lima,1320.88
JunYong Park,1319.38
Clint Hester,1319.12
Andre Fili,1318.16
Erik Perez,1317.52
Murilo Bustamante,1317.48
Ray Borg,1317.48
Muhammad Naimov,1317.01
Mick Parkin,1316.95
Felice Herrig,1316.45
Rafael Natal,1315.34
Danny Castillo,1315.09
Joe Solecki,1314.07
Bryan Battle,1313.54
Josh Thomson,1313.37
Spencer Fisher,1312.46
Rani Yahya,1312.26
Seth Baczynski,1311.41
Alessio Sakara,1311.19
Jordan Mein,1311.06
Ricardo Almeida,1310.59
Jean Silva,1309.5
Ricardo Ramos,1307.72
Gabriel Gonzaga,1306.25
Ali Bagautinov,1306.0
Matt Serra,1305.68
Vladimir Matyushenko,1305.03
Brett Johns,1304.01
Justin Willis,1303.84
Jordan Johnson,1303.18
Charlie Brenneman,1302.89
Chris Wade,1302.18
Frankie Saenz,1302.1
Michael McDonald,1301.85
Chris Leben,1300.67
Wilson Gouveia,1300.56
Chris Camozzi,1300.24
Nordine Taleb,1300.24
Ross Pearson,1299.48
Mark Kerr,1299.27
John Moraga,1299.0
Jerry Bohlander,1298.88
Renato Sobral,1298.79
Ignacio Bahamondes,1298.73
Paul Daley,1298.66
Paul Sass,1298.61
Edimilson Souza,1298.6
Aaron Simpson,1298.57
Cathal Pendred,1298.49
Trevin Giles,1298.32
Marco Beltran,1296.74
Pat Sabatini,1296.09
Claude Patrick,1295.7
Keith Jardine,1295.64
Miguel Baeza,1294.77
Wilson Reis,1294.5
Bruno Silva,1294.26
Matthew Semelsberger,1293.7
Cezar Ferreira,1293.07
Brian Stann,1292.85
Ruslan Magomedov,1291.98
Viviane Araujo,1291.7
Mike Easton,1291.54
David Loiseau,1291.27
Cole Miller,1291.2
Aspen Ladd,1290.22
Kajan Johnson,1290.19
Myktybek Orolbai,1289.71
Niko Price,1289.54
Terry Etim,1289.09
Blagoy Ivanov,1288.71
Angela Hill,1288.31
Miles Johns,1288.15
Dustin Hazelett,1287.96
Kyung Ho Kang,1287.19
Gavin Tucker,1286.61
Nina Nunes,1286.55
Stevie Ray,1285.77
Johnny Case,1285.21
Steve Erceg,1283.85
Andrea Lee,1283.18
Brendan Schaub,1283.04
Alberto Mina,1282.88
John Howard,1281.58
James Te Huna,1281.47
Kevin Aguilar,1280.91
Esteban Ribovics,1280.41
Hermes Franca,1280.14
Shara Magomedov,1280.06
Caio Magalhaes,1279.49
Makhmud Muradov,1279.19
Vitor Petrino,1279.13
Steven Siler,1278.13
Jacqueline Cavalcanti,1278.13
Yana Santos,1277.69
Guy Mezger,1276.82
Tagir Ulanbekov,1276.64
Kyle Noke,1276.33
Walt Harris,1274.84
Jessica Eye,1274.51
Matt Schnell,1274.21
Luke Barnatt,1273.47
Jeff Monson,1273.34
Kennedy Nzechukwu,1273.32
Gerald Meerschaert,1273.17
John Castaneda,1273.07
Bartosz Fabinski,1272.99
Tim Credeur,1271.99
Rony Jason,1271.99
Elves Brener,1271.75
John Makdessi,1271.62
Din Thomas,1271.42
Victor Henry,1271.41
Jimmy Crute,1270.97
Jaqueline Amorim,1270.94
Stephan Bonnar,1270.85
Elias Silverio,1270.7
Makwan Amirkhani,1270.42
Abdul Razak Alhassan,1270.25
Ariane da Silva,1270.07
Javid Basharat,1270.04
Sam Stout,1269.93
Farid Basharat,1269.29
Laverne Clark,1268.94
Manuel Torres,1268.48
Montana De La Rosa,1268.38
Antonio Silva,1267.55
Kyle Nelson,1267.38
Norman Parke,1266.81
Maurice Smith,1266.65
Matthew Riddle,1266.43
Phil Hawes,1266.09
Davey Grant,1265.96
Nate Maness,1265.96
Gabriel Bonfim,1265.84
Hacran Dias,1265.74
Jason Lambert,1265.72
Akira Corassani,1265.68
Mark Bocek,1265.46
Marcio Cruz,1265.45
Miranda Maverick,1265.15
Thomas Almeida,1264.86
Chad Laprise,1264.84
Mark Hominick,1264.4
Sean Pierson,1264.34
Philipe Lins,1263.07
Kyle Kingsbury,1262.05
Billy Quarantillo,1262.05
David Abbott,1261.44
Aleksei Kunchenko,1261.32
Rich Clementi,1260.7
Enrique Barzola,1260.58
Khama Worthy,1259.6
Marcus Brimage,1259.53
Asu Almabayev,1259.38
Gabriel Benitez,1258.83
Bas Rutten,1257.42
Eliot Marshall,1257.34
Manel Kape,1257.34
Jose Quinonez,1257.14
Joe Soto,1256.7
Roosevelt Roberts,1256.37
Nate Landwehr,1256.31
Joe Pyfer,1256.07
Casey O'Neill,1255.57
Pannie Kianzad,1255.25
Patrick Smith,1255.21
Joaquim Silva,1254.31
Eddie Wineland,1254.19
