Fighter,Elo Rating
Phillip Miller,1043.18
Chris Padilla,1043.15
Alberto Mina,1043.09
Joe Solecki,1042.94
Oumar Sy,1042.93
Zubaira Tukhugov,1042.72
Chris Holdsworth,1042.54
Jack Shore,1042.54
Jean Matsumoto,1042.5
Julio Arce,1042.33
Marco Ruas,1042.2
Luana Carolina,1042.17
Abel Trujillo,1042.16
Edimilson Souza,1041.91
Gerald Meerschaert,1041.8
Jesus Aguilar,1041.8
Kennedy Nzechukwu,1041.73
Dan Henderson,1041.7
Danny Barlow,1041.7
Don Madge,1041.68
Brock Lesnar,1041.67
Charlie Campbell,1041.57
Jeremiah Wells,1041.42
HyunSung Park,1041.42
Trey Waters,1041.25
Desmond Green,1041.13
Christian Rodriguez,1041.08
Jake Shields,1041.06
Claude Patrick,1040.92
Ibo Aslan,1040.91
Gerald Harris,1040.88
Askar Askarov,1040.78
Krzysztof Soszynski,1040.71
Manuel Torres,1040.64
Tainara Lisboa,1040.5
Marina Rodriguez,1040.44
Constantinos Philippou,1040.39
Alex Hunter,1040.15
Chris Duncan,1039.99
Muhammad Naimov,1039.95
Mauricio Ruffy,1039.82
Antonio Carlos Junior,1039.55
Luis Pena,1039.5
Makhmud Muradov,1039.11
Melvin Guillard,1039.08
Viscardi Andrade,1039.07
Paul Daley,1038.92
Josefine Knutsson,1038.85
Tom Breese,1038.77
Loopy Godinez,1038.74
Luana Santos,1038.67
Mark Madsen,1038.54
Matheus Nicolau,1038.16
Claudio Puelles,1038.15
Javid Basharat,1037.99
Charles Radtke,1037.51
George Sotiropoulos,1037.4
Cezar Ferreira,1037.31
Manel Kape,1037.27
Ronaldo Rodriguez,1037.21
Arjan Bhullar,1037.16
Marcus Davis,1037.04
Albert Tumenov,1036.88
Diego Brandao,1036.74
Josh Koscheck,1036.72
Magnus Cedenblad,1036.26
Billy Quarantillo,1036.25
Vladimir Matyushenko,1036.11
Taila Santos,1035.87
Abus Magomedov,1035.69
Thiago Moises,1035.57
Olivier Aubin-Mercier,1035.55
Hakeem Dawodu,1035.49
Iuri Alcantara,1035.37
Ricardo Almeida,1035.24
Patrick Cote,1035.14
Dooho Choi,1035.01
Travis Browne,1035.0
Jeremy Kennedy,1035.0
Jordan Mein,1034.95
Pedro Munhoz,1034.9
Ikram Aliskerov,1034.74
Enrique Barzola,1034.68
Claudio Silva,1034.57
Wilson Gouveia,1034.51
JJ Aldrich,1034.51
Jack Jenkins,1034.33
Melsik Baghdasaryan,1034.25
Joe Lauzon,1034.2
Brian Ebersole,1034.16
Dennis Bermudez,1034.04
Darren Till,1034.02
David Terrell,1033.88
Nicolae Negumereanu,1033.62
Davi Ramos,1033.57
Holly Holm,1033.18
Jorge Rivera,1032.96
Jacob Volkmann,1032.85
Ali Bagautinov,1032.67
Jeff Monson,1032.5
Charles Jourdain,1031.95
Vanessa Demopoulos,1031.77
Ricardo Ramos,1031.73
Maurice Smith,1031.62
Gray Maynard,1031.62
Mike Russow,1031.45
Ramazan Emeev,1031.35
Johnny Case,1031.31
Daniel Kelly,1031.29
Miesha Tate,1031.27
Karl Williams,1031.05
Nursulton Ruziboev,1029.94
Ismail Naurdiev,1029.82
Tim Kennedy,1029.7
Mark Coleman,1029.56
Victor Henry,1029.55
Mark Hunt,1029.52
Gleison Tibau,1029.26
John Castaneda,1029.22
Curtis Millender,1028.61
Carlos Condit,1028.5
Sergey Khandozhko,1028.45
Bogdan Guskov,1028.44
Douglas Silva de Andrade,1028.41
Drew Fickett,1028.37
Myktybek Orolbai,1028.05
Jacob Malkoun,1027.96
Hermes Franca,1027.91
Nina Nunes,1027.84
Adriano Martins,1027.73
Cathal Pendred,1027.62
Reiner de Ridder,1027.53
Felipe Lima,1027.4
Shamil Gaziev,1027.33
Jafel Filho,1027.32
Ismael Bonfim,1027.24
Daniel Santos,1027.19
Lucas Martins,1027.13
Kevin Randleman,1026.96
Morgan Charriere,1026.95
CB Dollaway,1026.85
Mirsad Bektic,1026.58
Khalid Murtazaliev,1026.5
Magomed Mustafaev,1026.43
Norman Parke,1026.42
Montana De La Rosa,1026.38
Allan Nascimento,1026.35
John Makdessi,1026.15
Nikolas Motta,1025.9
Sanae Kikuta,1025.84
Melissa Gatto,1025.79
Isaac Dulgarian,1025.75
Tom Lawlor,1025.64
Saidyokub Kakhramonov,1025.47
Christian Leroy Duncan,1025.47
Sara McMann,1025.26
Che Mills,1025.17
Todd Duffee,1025.09
Paul Sass,1025.09
Cody Durden,1025.08
Steve Erceg,1024.82
Nick Diaz,1024.7
Ikuhisa Minowa,1024.63
Nora Cornolle,1024.58
Genki Sudo,1024.57
Mark Schultz,1024.52
Lee Murray,1024.41
Dmitry Sosnovskiy,1024.23
Brian Foster,1024.1
Jennifer Maia,1024.08
Brendan Schaub,1024.03
Jonny Parsons,1023.97
Ketlen Souza,1023.83
Thiago Alves,1023.82
Aspen Ladd,1023.71
Maiquel Falcao,1023.67
Kenichi Yamamoto,1023.56
Fernando Padilla,1023.5
Remco Pardoel,1023.48
Trey Ogden,1023.48
Mark Hall,1023.47
Matt Serra,1023.36
Jhonata Diniz,1023.12
Gerard Gordeau,1023.0
Frank Hamaker,1023.0
Jon Hess,1023.0
Onassis Parungao,1023.0
Rafael Carino,1023.0
Justin Martin,1023.0
Enson Inoue,1023.0
Kazushi Sakuraba,1023.0
Cesar Marscucci,1023.0
Tulio Palhares,1023.0
Sione Latu,1023.0
Marcelo Mello,1023.0
Scott Adams,1023.0
Bob Cook,1023.0
Jonathan Wiezorek,1023.0
Tom Murphy,1023.0
Aliaskhab Khizriev,1023.0
Mairon Santos,1023.0
Ryan Loder,1023.0
Nathan Fletcher,1023.0
Shi Ming,1023.0
DongHun Choi,1023.0
Timur Valiev,1022.94
Ramazan Temirov,1022.84
Mikey Burnett,1022.77
Nordine Taleb,1022.67
Kajan Johnson,1022.67
Yanal Ashmouz,1022.59
Kevin Jousset,1022.58
Caio Magalhaes,1022.47
Juan Espino,1022.22
Rodolfo Bellato,1022.11
Davey Grant,1022.02
Elves Brener,1021.9
Steve Nelmark,1021.88
Ed Herman,1021.86
Evan Dunham,1021.81
Rodrigo Nascimento,1021.77
Matt Frevola,1021.71
Ebenezer Fontes Braga,1021.68
Cesar Almeida,1021.68
Chad Laprise,1021.64
Melissa Mullins,1021.57
Eduarda Moura,1021.57
Steve Bosse,1021.49
Ariane Carnelossi,1021.43
Steve Jennum,1021.39
Mansur Abdul-Malik,1021.39
Sam Patterson,1021.37
Scott Ferrozzo,1021.31
Javier Vazquez,1021.27
Leslie Smith,1021.26
Daniel Zellhuber,1021.26
Stephanie Luciano,1021.15
Aleksei Oleinik,1021.1
Timothy Johnson,1021.02
Danny Silva,1020.98
Tim Credeur,1020.95
Brian Stann,1020.84
Tim Boetsch,1020.79
Tom Duquesnoy,1020.61
Felicia Spencer,1020.59
Wang Guan,1020.57
Mauricio Rua,1020.48
Mayra Bueno Silva,1020.46
Ronnie Lawrence,1020.41
Dustin Jacoby,1020.36
Wilson Reis,1020.29
Johnny Rhodes,1020.25
Cameron Smotherman,1020.24
Abdul-Kerim Edilov,1020.16
Alexander Hernandez,1020.15
Lyman Good,1020.02
Yoshiki Takahashi,1020.0
Ben Earwood,1020.0
Mark Hughes,1020.0
Logan Clark,1020.0
Ramon Taveras,1020.0
ChangHo Lee,1020.0
Lone’er Kavanagh,1020.0
SuYoung You,1020.0
Zachary Reese,1019.99
Jonathan Pearce,1019.94
Brunno Ferreira,1019.94
Carlos Felipe,1019.93
Wanderlei Silva,1019.77
Rei Tsuruya,1019.76
Mike Kyle,1019.54
Nurullo Aliev,1019.4
Aisling Daly,1019.36
Alexis Davis,1019.34
Rafael Estevam,1018.99
MarQuel Mederos,1018.99
Puja Tomar,1018.85
Cody Haddon,1018.84
Tyrone Roberts,1018.78
Phil Rowe,1018.77
Jamal Pogues,1018.68
Magomed Gadzhiyasulov,1018.68
Jordan Leavitt,1018.63
Andre Roberts,1018.44
Adam Wieczorek,1018.34
Robert Peralta,1017.9
Brendson Ribiero,1017.81
Megan Anderson,1017.66
Bruno Silva,1017.62
Rafa Garcia,1017.53
Tyson Griffin,1017.48
Sergey Morozov,1017.42
Jamey-Lyn Horth,1017.4
Din Thomas,1017.38
Mizuki,1017.18
Michael Chandler,1017.15
Josh Samman,1017.06
Edmen Shahbazyan,1017.05
Soa Palelei,1016.86
Scott Holtzman,1016.86
Joanne Wood,1016.81
Tom Nolan,1016.69
Marlon Moraes,1016.67
Augusto Sakai,1016.66
Tai Tuivasa,1016.58
Ovince Saint Preux,1016.54
Rogerio Nogueira,1016.42
Cameron Saaiman,1016.38
Tyson Pedro,1016.36
Chidi Njokuani,1016.29
Kiichi Kunimoto,1015.9
Aleksei Kunchenko,1015.83
Michael Trizano,1015.75
Gavin Tucker,1015.58
Paddy Holohan,1015.36
Joselyne Edwards,1015.33
Gaston Bolanos,1015.28
Joaquim Silva,1014.97
Takeya Mizugaki,1014.9
Terry Etim,1014.89
Ben Nguyen,1014.82
Josiane Nunes,1014.77
Siyar Bahadurzada,1014.76
Royston Wee,1014.6
JeongYeong Lee,1014.24
Rafael Natal,1014.22
Rich Attonito,1014.14
Bea Malecki,1014.07
Tim Elliott,1013.92
Damon Jackson,1013.7
Paul Craig,1013.7
Jimmy Crute,1013.67
Angela Hill,1013.58
Matt Wiman,1013.39
Brad Riddell,1013.35
Elias Silverio,1013.33
Jarjis Danho,1013.22
Paige VanZant,1013.17
Manny Bermudez,1013.02
Roy Nelson,1012.9
Paul Kelly,1012.77
Terrance McKinney,1012.66
Michael Page,1012.55
Niko Price,1012.44
Gabriel Gonzaga,1012.12
Mohammed Usman,1012.12
Eryk Anders,1012.01
Tatsuya Kawajiri,1011.93
Brad Blackburn,1011.76
Jake O'Brien,1011.67
Justin Tafa,1011.37
Chris Daukaus,1011.36
Liz Carmouche,1011.1
