event,date,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Eryk Anders,Brad Tavares,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Bia Mesquita,Montse Rendon,Women's Bantamweight,win,"SUB

      

        Rear Naked Choke",1,2:07
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Hecher Sosa,Luan Lacerda,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Piera Rodriguez,Sam Hughes,Women's Strawweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Charles Oliveira,Max Holloway,Lightweight,win,U-DEC,5,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Caio Borralho,Reinier de Ridder,Middleweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Raul Rosas Jr.,Rob Font,Bantamweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Drew Dober,Michael Johnson,Lightweight,win,"KO/TKO

      

        Punch",2,1:53
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Gregory Rodrigues,Brunno Ferreira,Middleweight,win,"KO/TKO

      

        Punch",1,1:47
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Cody Garbrandt,Xiao Long,Bantamweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Donte Johnson,Cody Brundage,Middleweight,win,S-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Alberto Montes,Ricky Turcios,Featherweight,win,"SUB

      

        Anaconda Choke",2,0:40
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Nyamjargal Tumendemberel,Cody Durden,Flyweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Sumudaerji,Jesus Aguilar,Flyweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Diyar Nurgozhay,Rafael Tobias,Light Heavyweight,win,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",Rodolfo Bellato,Luke Fernandez,Light Heavyweight,win,"KO/TKO

      

        Punches",1,2:42
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Lone'er Kavanagh,Brandon Moreno,Flyweight,win,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",David Martinez,Marlon Vera,Bantamweight,win,U-DEC,3,5:00
