Fighter,Elo Rating
Francis Carmont,1046.64
Jalin Turner,1046.6
Murilo Bustamante,1046.38
Patrick Smith,1045.51
Shane Carwin,1045.46
Nate Landwehr,1045.2
Gray Maynard,1044.89
Andre Fili,1044.88
Aaron Simpson,1044.85
Gabriel Bonfim,1044.75
Luana Carolina,1044.65
Alex Perez,1044.59
Philipe Lins,1044.55
Myktybek Orolbai,1044.5
John Dodson,1044.39
Roman Kopylov,1044.11
Esteban Ribovics,1044.02
Tito Ortiz,1044.0
Claudia Gadelha,1043.92
Jaqueline Amorim,1043.79
Alexander Gustafsson,1043.54
Vinicius Oliveira,1043.47
John Moraga,1043.4
Jacare Souza,1043.21
Ray Borg,1043.1
Max Griffin,1042.99
Rodrigo Nascimento,1042.94
Enrique Barzola,1042.93
Mike Malott,1042.88
Ilir Latifi,1042.69
Frank Mir,1042.28
Julian Erosa,1042.27
Bas Rutten,1042.25
Shawn Jordan,1041.75
Casey Kenney,1041.67
Iasmin Lucindo,1041.65
Mark Madsen,1041.53
David Onama,1041.36
Christian Rodriguez,1041.34
Adlan Amagov,1041.25
Trey Waters,1040.97
Jake Shields,1040.95
Jhonata Diniz,1040.79
Dean Lister,1040.61
Darren Till,1040.52
Kyung Ho Kang,1040.48
Pedro Munhoz,1040.46
Uros Medic,1040.35
Joe Solecki,1040.19
Carlston Harris,1040.04
Phillip Miller,1039.99
Michael Graves,1039.94
Brady Hiestand,1039.94
Chris Holdsworth,1039.88
Kurt Pellegrino,1039.7
Mateusz Rebecki,1039.68
Brunno Ferreira,1039.68
Oumar Sy,1039.68
Arjan Bhullar,1039.64
Raoni Barcelos,1039.21
Jonathan Pearce,1039.1
Charlie Campbell,1038.88
Stephan Bonnar,1038.86
Joel Sutton,1038.85
Edimilson Souza,1038.85
Don Madge,1038.85
Josefine Knutsson,1038.85
Josh Koscheck,1038.84
Danny Barlow,1038.74
Jesus Aguilar,1038.73
Nazim Sadykhov,1038.65
Bryan Caraway,1038.64
Krzysztof Soszynski,1038.58
Abel Trujillo,1038.4
Vladimir Matyushenko,1038.31
Oban Elliott,1038.28
Muhammad Naimov,1038.22
Claude Patrick,1038.12
