Fighter,Peak Elo
Omari Akhmedov,1090.32
Nathaniel Wood,1090.12
Serghei Spivac,1090.12
Kyung Ho Kang,1090.09
Jack Shore,1089.89
Nikita Krylov,1089.45
Matt Wiman,1089.41
Oleg Taktarov,1089.33
Dan Hardy,1089.17
Kai Kara-France,1089.04
Jairzinho Rozenstruik,1088.99
Carlos Prates,1088.97
Tecia Pennington,1088.89
Alexandr Romanov,1088.54
Ketlen Vieira,1088.46
Josh Barnett,1088.45
Mackenzie Dern,1087.96
Ludovit Klein,1086.89
Gillian Robertson,1086.88
Erik Perez,1086.87
Chris Leben,1086.76
Bryan Battle,1086.57
JunYong Park,1086.49
Chas Skelly,1086.27
Jimi Manuwa,1085.88
Tim Boetsch,1085.69
Joanderson Brito,1085.17
Ryan Hall,1084.92
Da Woon Jung,1084.92
Tim Means,1084.81
Ilir Latifi,1084.67
Joe Stevenson,1084.33
Shane Carwin,1084.19
Alonzo Menifield,1084.15
Mark Hunt,1084.13
Jonathan Pearce,1083.95
Khalil Rountree Jr.,1083.9
Rafael Natal,1083.86
Constantinos Philippou,1083.65
Spencer Fisher,1083.63
Benoit Saint Denis,1083.55
Cezar Ferreira,1083.44
Sean Sherk,1083.05
Jalin Turner,1082.34
Macy Chiasson,1082.15
Rashid Magomedov,1081.83
Azamat Murzakanov,1081.76
Abel Trujillo,1081.65
Chael Sonnen,1081.5
Khaos Williams,1081.5
Brian Ebersole,1081.46
Casey Kenney,1081.34
Warlley Alves,1081.11
Thiago Silva,1081.09
Jeremiah Wells,1080.79
Louis Smolka,1080.77
King Green,1080.69
Mark Madsen,1080.39
Bryan Caraway,1080.38
Chris Daukaus,1080.26
Chepe Mariscal,1080.15
Aiemann Zahabi,1080.11
Fares Ziam,1080.04
Iuri Alcantara,1079.92
Kurt Pellegrino,1079.57
Brad Riddell,1079.42
Thiago Tavares,1079.4
Brock Lesnar,1079.22
William Gomis,1079.17
Tabatha Ricci,1079.07
Edmen Shahbazyan,1079.02
Yves Edwards,1079.01
Hakeem Dawodu,1078.82
Amanda Ribas,1078.79
Asu Almabayev,1078.72
Jiri Prochazka,1078.64
Ben Saunders,1078.37
Albert Tumenov,1078.34
Paul Craig,1078.28
Ramazan Emeev,1078.24
Vladimir Matyushenko,1078.23
Mike Russow,1078.23
Marco Ruas,1078.15
Misha Cirkunov,1078.06
Alan Patrick,1078.02
Cynthia Calvillo,1077.96
Joel Alvarez,1077.95
Steve Garcia,1077.73
Scott Holtzman,1077.66
Shara Magomedov,1077.65
Claudio Puelles,1077.39
Karine Silva,1077.12
Ben Rothwell,1077.07
Farid Basharat,1077.02
Irene Aldana,1076.88
Loopy Godinez,1076.82
Clint Hester,1076.47
Brandon Vera,1076.45
Marcus McGhee,1076.25
Jordan Johnson,1076.23
Aleksei Oleinik,1076.13
Jeremy Stephens,1076.05
Augusto Sakai,1075.94
Alan Jouban,1075.92
Danny Castillo,1075.9
Felice Herrig,1075.68
Jasmine Jasudavicius,1075.54
Mick Parkin,1075.52
Michael McDonald,1075.48
Jerry Bohlander,1075.47
Cathal Pendred,1075.46
Chris Wade,1075.43
Joe Solecki,1075.29
Gabriel Gonzaga,1074.91
Justin Willis,1074.67
Nordine Taleb,1074.59
Johnny Walker,1074.58
Mark Kerr,1074.56
Stevie Ray,1074.55
Pat Sabatini,1074.39
Johnny Case,1074.33
Ross Pearson,1074.15
Dustin Jacoby,1074.14
Chris Camozzi,1073.92
Marcos Rogerio de Lima,1073.88
Damon Jackson,1073.82
Steven Siler,1073.81
Vitor Petrino,1073.81
Wilson Reis,1073.59
Ricardo Ramos,1073.57
Guy Mezger,1073.45
Laverne Clark,1073.39
Bo Nickal,1073.27
Thomas Almeida,1073.2
John Howard,1072.93
CB Dollaway,1072.75
James Te Huna,1072.51
Karol Rosa,1072.4
Enrique Barzola,1072.32
Matthew Riddle,1071.72
Aaron Simpson,1071.67
Roy Nelson,1071.65
Wilson Gouveia,1071.64
John Makdessi,1071.43
JJ Aldrich,1071.28
Cole Miller,1071.27
Makwan Amirkhani,1071.2
Lauren Murphy,1071.11
Miranda Maverick,1070.94
Chad Laprise,1070.87
Casey O'Neill,1070.29
Taylor Lapilus,1070.23
Martin Buday,1070.23
Bryan Barberena,1069.67
Jon Madsen,1069.49
Waldo Cortes-Acosta,1069.27
Yancy Medeiros,1069.12
Miles Johns,1069.02
Volkan Oezdemir,1068.46
Jared Gordon,1068.39
Alexis Davis,1068.09
Sage Northcutt,1067.79
Loma Lookboonmee,1067.66
Jacob Volkmann,1066.61
Ed Herman,1066.59
Tim Kennedy,1066.52
Chris Curtis,1066.22
Holly Holm,1066.16
Ray Borg,1065.64
Davi Ramos,1065.51
Miesha Tate,1065.34
Dustin Ortiz,1065.27
Adriano Martins,1065.23
Shamil Abdurakhimov,1065.21
Curtis Millender,1064.77
Chris Cariaso,1064.69
Jason Knight,1064.67
Eddie Alvarez,1064.5
Andre Fili,1064.1
Christian Rodriguez,1063.87
John Moraga,1063.83
Michelle Waterson-Gomez,1063.83
Shawn Jordan,1063.46
Jake Shields,1063.37
Trevin Giles,1063.2
Claudia Gadelha,1063.18
Keith Jardine,1063.07
Karolina Kowalkiewicz,1062.99
Krzysztof Soszynski,1062.92
Ronny Markes,1062.87
Dustin Hazelett,1062.76
Norman Parke,1062.74
Taila Santos,1062.67
Iasmin Lucindo,1062.6
Brian Kelleher,1062.2
Renato Sobral,1062.13
Zubaira Tukhugov,1062.1
Niko Price,1061.76
Muhammad Naimov,1061.76
Alexander Hernandez,1061.69
David Loiseau,1061.67
Seth Baczynski,1061.65
Youssef Zalal,1061.61
Ignacio Bahamondes,1061.6
Frankie Saenz,1061.5
Dooho Choi,1061.27
Mike Perry,1061.24
Jimmy Crute,1061.1
Josh Samman,1061.04
Mike Malott,1061.02
Jean Silva,1061.0
Rodrigo Nascimento,1060.9
Ali Bagautinov,1060.86
Miguel Baeza,1060.84
Matthew Semelsberger,1060.71
Bruno Silva,1060.69
Mike Davis,1060.63
Brian Stann,1060.61
Edimilson Souza,1060.47
Ruslan Magomedov,1060.26
Daniel Marcos,1060.19
Rogerio Nogueira,1060.18
Patrick Cote,1060.1
Din Thomas,1060.06
Marco Beltran,1059.99
Mateusz Rebecki,1059.98
Carlston Harris,1059.95
Elves Brener,1059.93
Brendan Schaub,1059.81
Hermes Franca,1059.71
Kyle Noke,1059.67
Mark Hominick,1059.6
David Abbott,1059.51
